REGIONTYPE,REGION,YEAR,WEEK,PERCENTWEIGHTEDILI,PERCENTUNWEIGHTEDILI,AGE04,AGE2549,AGE2564,AGE524,AGE5064,AGE65,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
States,Alabama,2013,40,X,1.59044,X,X,X,X,X,X,201,27,12638
States,Alaska,2013,40,X,0.6238,X,X,X,X,X,X,13,9,2084
States,Arizona,2013,40,X,0.792311,X,X,X,X,X,X,230,59,29029
States,Arkansas,2013,40,X,1.63326,X,X,X,X,X,X,66,18,4041
States,California,2013,40,X,1.52479,X,X,X,X,X,X,633,137,41514
States,Colorado,2013,40,X,0.652244,X,X,X,X,X,X,142,9,21771
States,Connecticut,2013,40,X,0.701388,X,X,X,X,X,X,47,27,6701
States,Delaware,2013,40,X,0.49636,X,X,X,X,X,X,15,12,3022
States,District of Columbia,2013,40,X,5.41463,X,X,X,X,X,X,111,3,2050
States,Florida,2013,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2013,40,X,1.00692,X,X,X,X,X,X,380,41,37739
States,Hawaii,2013,40,X,1.25261,X,X,X,X,X,X,18,16,1437
States,Idaho,2013,40,X,0.5631,X,X,X,X,X,X,17,8,3019
States,Illinois,2013,40,X,1.41144,X,X,X,X,X,X,859,105,60860
States,Indiana,2013,40,X,0.918555,X,X,X,X,X,X,90,38,9798
States,Iowa,2013,40,X,0.170691,X,X,X,X,X,X,62,21,36323
States,Kansas,2013,40,X,0.333611,X,X,X,X,X,X,24,32,7194
States,Kentucky,2013,40,X,0.242983,X,X,X,X,X,X,49,17,20166
States,Louisiana,2013,40,X,2.02694,X,X,X,X,X,X,596,49,29404
States,Maine,2013,40,X,0.823958,X,X,X,X,X,X,52,33,6311
States,Maryland,2013,40,X,0.544569,X,X,X,X,X,X,57,18,10467
States,Massachusetts,2013,40,X,0.621216,X,X,X,X,X,X,196,57,31551
States,Michigan,2013,40,X,1.1005,X,X,X,X,X,X,182,48,16538
States,Minnesota,2013,40,X,0.259572,X,X,X,X,X,X,12,12,4623
States,Mississippi,2013,40,X,2.57892,X,X,X,X,X,X,415,40,16092
States,Missouri,2013,40,X,1.10175,X,X,X,X,X,X,85,22,7715
States,Montana,2013,40,X,0.0852152,X,X,X,X,X,X,2,8,2347
States,Nebraska,2013,40,X,0.469484,X,X,X,X,X,X,11,15,2343
States,Nevada,2013,40,X,0.584908,X,X,X,X,X,X,91,34,15558
States,New Hampshire,2013,40,X,0.0760601,X,X,X,X,X,X,4,28,5259
States,New Jersey,2013,40,X,1.51614,X,X,X,X,X,X,162,22,10685
States,New Mexico,2013,40,X,1.84558,X,X,X,X,X,X,207,28,11216
States,New York,2013,40,X,0.582589,X,X,X,X,X,X,88,137,15105
States,North Carolina,2013,40,X,0.356983,X,X,X,X,X,X,64,53,17928
States,North Dakota,2013,40,X,0.0765697,X,X,X,X,X,X,1,8,1306
States,Ohio,2013,40,X,0.478911,X,X,X,X,X,X,57,38,11902
States,Oklahoma,2013,40,X,2.33181,X,X,X,X,X,X,87,20,3731
States,Oregon,2013,40,X,0.0904432,X,X,X,X,X,X,3,14,3317
States,Pennsylvania,2013,40,X,0.754364,X,X,X,X,X,X,137,55,18161
States,Rhode Island,2013,40,X,0.0931677,X,X,X,X,X,X,6,20,6440
States,South Carolina,2013,40,X,0.272533,X,X,X,X,X,X,14,15,5137
States,South Dakota,2013,40,X,0.672156,X,X,X,X,X,X,40,24,5951
States,Tennessee,2013,40,X,0.292969,X,X,X,X,X,X,30,52,10240
States,Texas,2013,40,X,2.2366,X,X,X,X,X,X,954,120,42654
States,Utah,2013,40,X,1.16469,X,X,X,X,X,X,200,44,17172
States,Vermont,2013,40,X,1.77116,X,X,X,X,X,X,63,11,3557
States,Virginia,2013,40,X,1.28394,X,X,X,X,X,X,914,110,71187
States,Washington,2013,40,X,0.569882,X,X,X,X,X,X,40,16,7019
States,West Virginia,2013,40,X,0.425137,X,X,X,X,X,X,55,35,12937
States,Wisconsin,2013,40,X,0.704887,X,X,X,X,X,X,30,29,4256
States,Wyoming,2013,40,X,0.451778,X,X,X,X,X,X,23,26,5091
States,Puerto Rico,2013,40,X,5.16129,X,X,X,X,X,X,40,1,775
States,Virgin Islands,2013,40,X,1.59151,X,X,X,X,X,X,6,1,377
States,New York City,2013,40,X,1.52274,X,X,X,X,X,X,1496,61,98244
States,Alabama,2013,41,X,1.71352,X,X,X,X,X,X,217,29,12664
States,Alaska,2013,41,X,0.838926,X,X,X,X,X,X,15,8,1788
States,Arizona,2013,41,X,1.00148,X,X,X,X,X,X,291,59,29057
States,Arkansas,2013,41,X,1.58351,X,X,X,X,X,X,73,19,4610
States,California,2013,41,X,1.75269,X,X,X,X,X,X,744,137,42449
States,Colorado,2013,41,X,0.618727,X,X,X,X,X,X,135,11,21819
States,Connecticut,2013,41,X,0.765879,X,X,X,X,X,X,58,28,7573
States,Delaware,2013,41,X,0.0378215,X,X,X,X,X,X,1,11,2644
States,District of Columbia,2013,41,X,6.02353,X,X,X,X,X,X,128,3,2125
States,Florida,2013,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2013,41,X,0.971469,X,X,X,X,X,X,333,41,34278
States,Hawaii,2013,41,X,1.98556,X,X,X,X,X,X,33,17,1662
States,Idaho,2013,41,X,0.553385,X,X,X,X,X,X,17,8,3072
States,Illinois,2013,41,X,1.52682,X,X,X,X,X,X,932,107,61042
States,Indiana,2013,41,X,0.89906,X,X,X,X,X,X,88,38,9788
States,Iowa,2013,41,X,0.198186,X,X,X,X,X,X,71,21,35825
States,Kansas,2013,41,X,0.600429,X,X,X,X,X,X,42,32,6995
States,Kentucky,2013,41,X,0.168366,X,X,X,X,X,X,35,16,20788
States,Louisiana,2013,41,X,2.23888,X,X,X,X,X,X,723,56,32293
States,Maine,2013,41,X,0.554468,X,X,X,X,X,X,34,33,6132
States,Maryland,2013,41,X,0.985784,X,X,X,X,X,X,95,17,9637
States,Massachusetts,2013,41,X,0.702243,X,X,X,X,X,X,227,59,32325
States,Michigan,2013,41,X,1.1484,X,X,X,X,X,X,193,46,16806
States,Minnesota,2013,41,X,0.660264,X,X,X,X,X,X,33,13,4998
States,Mississippi,2013,41,X,2.88654,X,X,X,X,X,X,491,42,17010
States,Missouri,2013,41,X,1.32619,X,X,X,X,X,X,104,23,7842
States,Montana,2013,41,X,0.113766,X,X,X,X,X,X,3,8,2637
States,Nebraska,2013,41,X,0.76,X,X,X,X,X,X,19,15,2500
States,Nevada,2013,41,X,0.777235,X,X,X,X,X,X,124,34,15954
States,New Hampshire,2013,41,X,0.0736784,X,X,X,X,X,X,4,30,5429
States,New Jersey,2013,41,X,1.49528,X,X,X,X,X,X,179,26,11971
States,New Mexico,2013,41,X,1.81932,X,X,X,X,X,X,204,28,11213
States,New York,2013,41,X,0.552562,X,X,X,X,X,X,81,139,14659
States,North Carolina,2013,41,X,0.867367,X,X,X,X,X,X,151,56,17409
States,North Dakota,2013,41,X,0.0485909,X,X,X,X,X,X,1,10,2058
States,Ohio,2013,41,X,0.646813,X,X,X,X,X,X,96,46,14842
